step,r_s,ke,pot,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,10,-0.00015705456914645743,-0.279912058498031,-0.28006911306717747,1.0047848185366066,0.0,0.10293170307313307,-0.28412823063816134,1.0,10
1,10,0.000491605133723285,-0.28687833884492514,-0.2863867337112018,1.0099178467103405,0.06973728897837733,0.08441905769894525,-0.28922381061513225,1.0,10
2,10,0.00023054632275401144,-0.2856547729004218,-0.2854242265776678,1.014296217046928,0.12543840413361448,0.09665669602859361,-0.29354981273432945,1.0,10
3,10,-0.00014867953241049335,-0.2837674147995713,-0.28391609433198184,1.0170914058063891,0.17322248797004156,0.11002142672746698,-0.29630181387102095,1.0,10
4,10,-0.0010613151987270302,-0.28012525227951435,-0.28118656747824133,1.0194691377379441,0.21545683356674283,0.24856977415194556,-0.29863686157629415,1.0,10
5,10,-0.00034472997759016783,-0.28246662489909824,-0.2828113548766884,1.0211985419232217,0.25332347937608174,0.12486448709882465,-0.3003318015378926,1.0,10
6,10,0.0006052331607548738,-0.28658621919468735,-0.28598098603393257,1.0226431820664814,0.2872871930047629,0.08029359551504923,-0.3017454534531905,1.0,10
7,10,0.0006017851906310089,-0.2865821640863284,-0.28598037889569744,1.0237842739857057,0.3182569625558633,0.08157609716053585,-0.30286065744843826,1.0,10
8,10,0.00047785059408301454,-0.28606447714685473,-0.2855866265527718,1.0245650498764114,0.3475562325529095,0.08366827742218444,-0.3036230039089993,1.0,10
9,10,0.0003610663421350595,-0.2856057147671526,-0.28524464842501746,1.025228103062861,0.3756336320075395,0.0873617819327821,-0.304269950366621,1.0,10
10,10,0.00043173493090602075,-0.28556627814980323,-0.2851345432188972,1.0259620983438213,2.220446049250313e-16,0.08580702427698643,-0.3049856278418603,1.0,10
11,10,0.0010465671821342892,-0.30402958762826404,-0.3029830204461296,1.0264213321364657,0.04850302797762796,0.056179689286265364,-0.30543314051759934,1.0,10
12,10,0.0009010167942554901,-0.30176764570996595,-0.3008666289157105,1.026614095830409,0.0924339156599167,0.06445891181553803,-0.3056209246073271,1.0,10
13,10,0.0007987257070394543,-0.2997678896862467,-0.2989691639792072,1.0269937286812438,0.13292845187688052,0.06739603277640113,-0.30599064744401283,1.0,10
14,10,0.0008577662941231796,-0.2985204404013952,-0.297662674107272,1.027393092186926,0.16981948436120858,0.06766968998085494,-0.30637943840261533,1.0,10
15,10,0.0008205862688928992,-0.2974227521597036,-0.29660216589081073,1.0276940242124177,0.2039006646312946,0.06805591446460976,-0.30667230387312616,1.0,10
16,10,0.0008156222723816278,-0.2962106459180024,-0.29539502364562076,1.0279826939060033,0.2363039608283232,0.06893684420317638,-0.30695315513046517,1.0,10
17,10,0.0004895638818683112,-0.2938349657345299,-0.2933454018526616,1.0281957342774055,0.26765533155172483,0.0845953208471663,-0.30716037486319303,1.0,10
18,10,0.0006116995292500192,-0.2937709409407629,-0.29315924141151284,1.0286440777553452,0.29759455644900423,0.07492878182397972,-0.3075963285844479,1.0,10
19,10,0.00037062635125991063,-0.2920011107726967,-0.29163048442143674,1.0289129868810432,0.32594961070303513,0.08352613809492572,-0.30785771538324025,1.0,10
20,10,0.0004745731544748222,-0.2914527490130304,-0.2909781758585556,1.0289958598255093,0.0,0.08019747538897751,-0.3079382563116138,1.0,10
21,10,0.0009148249087357588,-0.30677087598388264,-0.30585605107514685,1.0292644764718717,0.04804638268926602,0.05763785575913375,-0.30819926959856325,1.0,10
22,10,0.0009064618294278505,-0.3045621296842199,-0.30365566785479203,1.029370020958497,0.08995607908005325,0.05900476665131185,-0.30830180794313045,1.0,10
23,10,0.0008631190096129653,-0.3024616713290562,-0.30159855231944327,1.029264916850859,0.12811548060856345,0.06427831299135231,-0.30819969745642006,1.0,10
24,10,0.0007228892381313626,-0.30040472300389054,-0.2996818337657592,1.029216705228758,0.16337614525342037,0.06936733503689593,-0.308152855530223,1.0,10
25,10,0.0006693058918844598,-0.2985352286255499,-0.2978659227336654,1.0290987004562282,0.19653767407096112,0.07022511572384454,-0.3080381940236987,1.0,10
26,10,0.0006403748079129755,-0.2973617058411844,-0.2967213310332714,1.0291492949344323,0.22820258580223393,0.07199646185637844,-0.30808735668857434,1.0,10
27,10,0.0007262680625560971,-0.29601175907570143,-0.29528549101314533,1.0292567672355637,0.25839776233011647,0.07169228491321562,-0.30819177952642374,1.0,10
28,10,0.0004451305624019283,-0.2934178703437155,-0.29297273978131366,1.029099752368649,0.28753127553786584,0.08539648293237659,-0.3080392161918178,1.0,10
29,10,0.0003678221042246871,-0.29266256385992756,-0.2922947417557029,1.0292605193387518,0.3158094983343358,0.09151818656328102,-0.3081954249689105,1.0,10
30,10,0.0005743120117179287,-0.29302191500594627,-0.29244760299422834,1.0297080915556158,4.440892098500626e-16,0.07789950188775624,-0.3086301787787015,1.0,10
31,10,0.0008981979477689169,-0.3074555113534421,-0.3065573134056732,1.0301533113904289,0.04710738559090901,0.0558462532030804,-0.3090624601361845,1.0,10
32,10,0.0006496032741273259,-0.3043624649767209,-0.30371286170259365,1.0299704348037162,0.09053985202830327,0.07176859154733486,-0.30888492071649587,1.0,10
33,10,0.0007473312121806185,-0.3029283342125627,-0.3021810030003821,1.0300817102130726,0.12876118640156944,0.06799803067040525,-0.3089929523599995,1.0,10
34,10,0.0008260375422727488,-0.30189513723312955,-0.3010690996908568,1.0301869246070823,0.16347355309913908,0.06523266367596257,-0.3090950889380388,1.0,10
35,10,0.0006525882131122146,-0.29981198459744857,-0.29915939638433636,1.030152912612416,0.1962411321813156,0.0725855259655323,-0.3090620730306094,1.0,10
36,10,0.0008019246268880206,-0.2987130919387908,-0.29791116731190276,1.0299847631793326,0.22722333350259158,0.0675043630667678,-0.30889883206333546,1.0,10
37,10,0.0008623268153004979,-0.29746260242261496,-0.2966002756073144,1.0298151251531913,0.2568404076554046,0.06633771894022292,-0.3087341189497114,1.0,10
38,10,0.0007700615606951232,-0.2966411793609898,-0.2958711178002947,1.0300506705986305,0.28559590913565647,0.0686819069498563,-0.3089628187484571,1.0,10
39,10,0.000632285391631645,-0.2950502686626234,-0.2944179832709918,1.0301527464304654,0.3133217659983899,0.07458680684829606,-0.3090619117128457,1.0,10
40,10,0.0005919435400116776,-0.29376315352927895,-0.2931712099892673,1.0300805089518152,4.440892098500626e-16,0.07579676777897698,-0.308991786178767,1.0,10
41,10,0.0010487283892885394,-0.30735522267523374,-0.30630649428594525,1.0296426148020805,0.04607059578029049,0.052511595140850215,-0.3085665890721443,1.0,10
42,10,0.001009069971768274,-0.305502391683857,-0.3044933217120887,1.0296984654413368,0.08775236472775563,0.055083271490699894,-0.30862083034359356,1.0,10
43,10,0.0008565975306388605,-0.3030134121717252,-0.3021568146410864,1.0296961144853733,0.1262777799255111,0.06541103977997308,-0.30861854719107257,1.0,10
44,10,0.0008727233666560671,-0.3015123454358705,-0.3006396220692144,1.0297449662814102,0.1613687573320403,0.06614234683431026,-0.3086659889911825,1.0,10
45,10,0.000832697298491163,-0.3002552172836531,-0.29942251998516195,1.0298841380600368,0.19396489189911525,0.06973146981478219,-0.30880113155500155,1.0,10
46,10,0.0008726666204227087,-0.29904461812708905,-0.2981719515066663,1.0298950105093558,0.22484461760644325,0.06784424345049218,-0.30881168846283963,1.0,10
47,10,0.0008250540957149674,-0.2981376101595596,-0.29731255606384466,1.0300102449572346,0.2546042207682288,0.06791954218965886,-0.30892357171348245,1.0,10
48,10,0.00044900492121794836,-0.2954098149357465,-0.29496081001452856,1.030085580703081,0.2836226618201171,0.08611596471872018,-0.3089967098121493,1.0,10
49,10,0.0004616106674421164,-0.2944457051541507,-0.29398409448670865,1.0300598508658931,0.3112480848503226,0.08180242212886205,-0.3089717311511334,1.0,10
50,10,0.0006598560507266895,-0.29504265002791874,-0.294382793977192,1.030456114375753,0.0,0.07675953738819268,-0.30935635667350675,1.0,10
51,10,0.001117573072849996,-0.30805257736286307,-0.3069350042900131,1.030012171439084,0.044818700914649096,0.05016872021052563,-0.30892544206385725,1.0,10
52,10,0.0009753944043219518,-0.3051510753187131,-0.3041756809143912,1.0298270338833033,0.08666669700843965,0.059010106688215845,-0.30874568283235915,1.0,10
53,10,0.0009221462753856866,-0.3034066532215852,-0.3024845069461995,1.0297528409067633,0.12525357833903356,0.062273814059092304,-0.30867363612275567,1.0,10
54,10,0.0009200839222308413,-0.30172763294590577,-0.3008075490236749,1.0297852366828344,0.1609904256855522,0.06194574779278574,-0.30870509538677826,1.0,10
55,10,0.0006542284155069466,-0.299029706630734,-0.29837547821522714,1.0296405370207968,0.19526885837291683,0.0724796817184656,-0.3085645711065412,1.0,10
56,10,0.0007953102704701046,-0.29874781178365567,-0.2979525015131856,1.0299718402077516,0.2273148083640661,0.07029936651131005,-0.30888628522466854,1.0,10
57,10,0.0007535394988226404,-0.2971839995152676,-0.2964304600164449,1.0300586599493398,0.25706086449649596,0.07350013080479437,-0.30897057498798314,1.0,10
58,10,0.0007108929389012897,-0.2957454263035181,-0.2950345333646168,1.0298459911073674,0.2858772528712314,0.07321210620794892,-0.3087640908260887,1.0,10
59,10,0.0006840042588534608,-0.29488013804150426,-0.29419613378265075,1.0297687956943529,0.3139763339584579,0.0753395077517422,-0.30868912980566354,1.0,10
