step,r_s,ke,pot,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,4,-12.850441631794652,0.0,-12.850441631794652,0.9401516674891384,2.220446049250313e-16,3.8049064753699504,-14.1345105080273,0.2,10
1,4,-11.184843280218672,0.0,-11.184843280218672,0.7772090828084359,0.3023578724883727,5.038866820727612,-13.18285147488489,0.2,10
2,4,-7.3008255834872715,0.0,-7.3008255834872715,0.6201233044839413,0.4992834250323899,7.649919939280964,-12.053896137146785,0.2,10
3,4,-3.2614543510885223,0.0,-3.2614543510885223,0.48956350372699886,0.6936495825164491,9.529052033790709,-10.871875381711735,0.2,10
4,4,-0.04876329489429537,0.0,-0.04876329489429537,0.42787884472414284,0.9525332855982592,11.524031488747742,-10.198504866992904,0.2,10
5,4,2.378900518318935,0.0,2.378900518318935,0.3321222901577558,1.1511493328709415,13.297159951691617,-8.931820679535855,0.2,10
6,4,4.206919291712329,0.0,4.206919291712329,0.27902800807918915,1.5956790575827255,13.220468246670663,-8.060865275637289,0.2,10
7,4,5.633173096530179,0.0,5.633173096530179,0.17286822900716056,1.198370179948164,16.654386906637466,-5.666952565975292,0.2,10
8,4,6.054224580588085,0.0,6.054224580588085,0.15680643441955155,1.1657130244786953,17.043951916828036,-5.179365169386495,0.2,10
9,4,6.619784424320538,0.0,6.619784424320538,0.22450935533078276,2.213919446265065,17.32452659507195,-6.973891345650311,0.2,10
10,4,6.683944682924097,0.0,6.683944682924097,0.21328599528569286,0.0,17.09946952019266,-6.717474284642256,0.2,10
11,4,-0.8305854983597628,0.0,-0.8305854983597628,0.1552742563099041,0.1010440641637694,11.368273588914823,-5.130269199473727,0.2,10
12,4,1.8038999917832856,0.0,1.8038999917832856,0.16316045191675926,0.24221716000722504,14.337563931429374,-5.377974875930699,0.2,10
13,4,3.3832750370130324,0.0,3.3832750370130324,0.1769736993605722,0.4052070642052292,14.97015000676988,-5.7843101065690945,0.2,10
14,4,5.210364302923884,0.0,5.210364302923884,0.144645159477052,0.40829475567884105,15.690175497530745,-4.775722290674368,0.2,10
15,4,6.019824686632349,0.0,6.019824686632349,0.13349872714760166,0.5421174998136055,16.091179160726913,-4.374764171419592,0.2,10
16,4,6.935636750815046,0.0,6.935636750815046,0.13425985754538278,0.841206323689469,16.040253261765972,-4.4031902421928555,0.2,10
17,4,8.05931921780891,0.0,8.05931921780891,0.17519845335310952,1.455458241348517,16.862685631584217,-5.73390120767038,0.2,10
18,4,9.406280446262947,0.0,9.406280446262947,0.14145718456615777,1.107405149097351,20.275839655859297,-4.66428989844294,0.2,10
19,4,10.007289602917146,0.0,10.007289602917146,0.10321647631946183,0.7747655662023067,19.650515674612098,-3.0884469276319515,0.2,10
20,4,10.310415512442038,0.0,10.310415512442038,0.14445596511394632,0.0,20.545210997679707,-4.769178061889994,0.2,10
21,4,-2.25990004709367,0.0,-2.25990004709367,0.15495616085171754,0.09099810175644002,7.096366371713993,-5.120015673318129,0.2,10
22,4,0.18290676528322997,0.0,0.18290676528322997,0.15374275856989517,0.1795385707037843,9.433853458449073,-5.080708489045098,0.2,10
23,4,1.5922286522303508,0.0,1.5922286522303508,0.14559591651211412,0.2519024907069836,9.594960477724939,-4.808479901999853,0.2,10
24,4,2.589429395408334,0.0,2.589429395408334,0.1536110991428531,0.48150501493519765,10.425698834423896,-5.076424845557593,0.2,10
25,4,3.76843379692894,0.0,3.76843379692894,0.17971113100852035,0.9876737844634723,11.273070901153634,-5.861058125041586,0.2,10
26,4,4.669420508410766,0.0,4.669420508410766,0.20041593564369134,1.714328782509376,12.445315709192851,-6.406278880966427,0.2,10
27,4,5.611474220581627,0.0,5.611474220581627,0.27776608168999356,3.391167164750435,13.384536530693332,-8.03820108840766,0.2,10
28,4,5.848677124577514,0.0,5.848677124577514,0.35375534400066755,4.889987453133974,13.442351231747653,-9.247332232614859,0.2,10
29,4,7.154638061883069,0.0,7.154638061883069,0.2726206003945131,3.6632425835830436,18.31467319038981,-7.944709887085123,0.2,10
30,4,7.746262203402098,0.0,7.746262203402098,0.17603672070743745,0.0,18.614884773752873,-5.757767523114515,0.2,10
31,4,-1.8579133003913166,0.0,-1.8579133003913166,0.12749136930429716,0.05564660520865585,9.27867105658209,-4.144547807701256,0.2,10
32,4,2.2314167517674455,0.0,2.2314167517674455,0.13013867245180114,0.12722337655407653,21.37027449051843,-4.2473074202757894,0.2,10
33,4,5.200179744087636,0.0,5.200179744087636,0.12741382848853308,0.20065333165376087,29.500206745623665,-4.141505860388011,0.2,10
34,4,6.6096144980780505,0.0,6.6096144980780505,0.14821920272110914,0.3468920929183557,29.84427022462496,-4.897765842245104,0.2,10
35,4,8.369079697497632,0.0,8.369079697497632,0.17608149015437738,0.6403813751907902,32.91109662270954,-5.75903895542901,0.2,10
36,4,9.239325411747016,0.0,9.239325411747016,0.16325536339394028,0.7393412206037601,33.13449707531309,-5.380882562243801,0.2,10
37,4,10.331955834275217,0.0,10.331955834275217,0.14710699430633667,0.82892666689663,33.75763986523225,-4.860105327053213,0.2,10
38,4,11.23337886614358,0.0,11.23337886614358,0.17287273979764786,1.2799053927987272,34.03676234367689,-5.667083033316295,0.2,10
39,4,12.083161422182432,0.0,12.083161422182432,0.1607314036688244,1.442089000187169,34.17062883711677,-5.302977812961642,0.2,10
40,4,13.01026934153036,0.0,13.01026934153036,0.10607245942668612,2.7755575615628914e-17,34.514294554530714,-3.2249166551951163,0.2,10
41,4,0.0039059984840068298,0.0,0.0039059984840068298,0.1466701005986373,0.11846580894499113,9.349700606190082,-4.845233710533009,0.2,10
42,4,1.9885798383726925,0.0,1.9885798383726925,0.1651425836942328,0.2513750597406377,10.137634297351871,-5.438350676544149,0.2,10
43,4,3.048126773115041,0.0,3.048126773115041,0.19274986992810228,0.7132741448006404,10.947433005734569,-6.211271142926973,0.2,10
44,4,4.574736678574074,0.0,4.574736678574074,0.22338877478554064,2.110002318844736,12.393042626677362,-6.948872645907432,0.2,10
45,4,5.336661311500896,0.0,5.336661311500896,0.2636160135485191,3.80137955928917,12.443406150807782,-7.7767722058624,0.2,10
46,4,6.8702994678493825,0.0,6.8702994678493825,0.2937997190076126,5.320992539791332,22.76646963791408,-8.31879599148122,0.2,10
47,4,6.969632083343349,0.0,6.969632083343349,0.4461649854107083,9.254781419381702,22.729982991993328,-10.407748485125605,0.2,10
48,4,7.244508720288727,0.0,7.244508720288727,0.4495370422047187,9.791962998301036,22.82717416878176,-10.445395745273881,0.2,10
49,4,7.895899574558629,0.0,7.895899574558629,0.39355229769322814,8.722617758495195,23.233121801374203,-9.780374269561376,0.2,10
50,4,8.786857031943681,0.0,8.786857031943681,0.19217521549983685,0.0,25.46186715004753,-6.196342137857137,0.2,10
51,4,-1.174731855161127,0.0,-1.174731855161127,0.09051088055189939,0.03044199408196948,6.303605546415379,-2.431654807679776,0.2,10
