step,r_s,ke,pot,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
2,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
3,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
4,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
5,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
6,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
7,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
8,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
9,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
10,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
11,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
12,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
13,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
14,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
15,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
16,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
17,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
18,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
19,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
20,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
21,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
22,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
23,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
24,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,10
