step,r_s,ke,pot,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,8,-0.0037742190997668563,-0.34889009440302293,-0.3526643135027898,1.0013963354223314,4.440892098500626e-16,0.13989694868115513,-0.35600391471997533,0.4,10
1,8,-0.003230953774717834,-0.35249187349803185,-0.3557228272727497,1.0022051879856848,0.04318244667520923,0.1217373200978747,-0.3580224114066766,0.4,10
2,8,-0.003378835457765085,-0.3510655486452878,-0.35444438410305285,1.0038528656306829,0.07905384869262269,0.1310658037221469,-0.36212916697276115,0.4,10
3,8,-0.0034734971385873125,-0.3500323338358357,-0.353505830974423,1.0048495504392803,0.11073450937717264,0.12962377861022006,-0.3646100842117153,0.4,10
4,8,-0.0038624888285352112,-0.3483901557742451,-0.3522526446027802,1.005676993165518,0.13992169353126296,0.1397847103735145,-0.36666786050814504,0.4,10
5,8,-0.003894151940863537,-0.34761475523934926,-0.3515089071802127,1.0064807443139165,0.16716697794096672,0.13407095826820353,-0.36866509754422794,0.4,10
6,8,-0.003452633942375758,-0.3495640695662866,-0.35301670350866243,1.0073051306286316,0.19229516239266842,0.12482494249017391,-0.37071195458852524,0.4,10
7,8,-0.0032670413893907935,-0.35128821438768737,-0.35455525577707814,1.0082648516311035,0.21544028610758348,0.11779255683571514,-0.3730927230149482,0.4,10
8,8,-0.003267561622539842,-0.3524453541111915,-0.35571291573373137,1.0091824300507284,0.23703240817563945,0.11779317700802779,-0.3753668307233063,0.4,10
9,8,-0.003268202266889637,-0.35216763538576384,-0.35543583765265346,1.0097898531177687,0.25741103487371264,0.11951864407123332,-0.3768711185494225,0.4,10
10,8,-0.003212329793413057,-0.3521818422280954,-0.3553941720215084,1.010244546975975,0.0,0.11725047312123671,-0.3779965792491626,0.4,10
11,8,-0.0037042042216318682,-0.37507176930531594,-0.37877597352694775,1.0116010568981475,0.03225647007818211,0.10183158983997867,-0.3813512125681314,0.4,10
12,8,-0.003354947751782661,-0.37495252019909175,-0.3783074679508744,1.012060631784338,0.05972072991463237,0.08526713666666527,-0.3824867158408908,0.4,10
13,8,-0.003802656339461931,-0.3723570708972516,-0.37615972723671354,1.012365353099591,0.08514918570576871,0.10864809783134301,-0.38323932749434153,0.4,10
14,8,-0.0035137127739351156,-0.37238680528066354,-0.37590051805459873,1.0127428288451952,0.10888237018254039,0.09440260691379672,-0.3841713165933471,0.4,10
15,8,-0.0036445696984420644,-0.3705760928445097,-0.3742206625429517,1.0129166462385595,0.13135233744122637,0.09736927570221313,-0.384600355619721,0.4,10
16,8,-0.003941782167823833,-0.3679262875416659,-0.3718680697094897,1.0129793000940646,0.15332058451169034,0.11549948033748678,-0.38475498808156683,0.4,10
17,8,-0.0034207986787649467,-0.37054183350486203,-0.373962632183627,1.0134591312294305,0.1737122081486128,0.09487305323162792,-0.3859389153524789,0.4,10
18,8,-0.0037381723855454204,-0.3681209808060319,-0.37185915319157736,1.013849583583662,0.19286148078682258,0.11010005641030016,-0.38690189734976,0.4,10
