step,r_s,tau,elocal,ke,pot,acceptance
0,4,0.2,-1.6507802411975288,-0.9423443268630691,-0.7084359143344595,0.84
1,4,0.2,-1.6576655065050978,-0.9180759794837775,-0.7395895270213202,0.822
2,4,0.2,-1.650244733684146,-0.8898525074553749,-0.7603922262287712,0.814
3,4,0.2,-1.6549015327871257,-0.8893589540440958,-0.7655425787430298,0.81
4,4,0.2,-1.6557453977821723,-0.8839760324613269,-0.7717693653208453,0.826
5,4,0.2,-1.6604295971958665,-0.8803840562686439,-0.7800455409272227,0.798
6,4,0.2,-1.6666885559014284,-0.885561451371697,-0.7811271045297314,0.774
7,4,0.2,-1.67075244779461,-0.8799623690363999,-0.7907900787582103,0.774
8,4,0.2,-1.6693508318275914,-0.875529938195066,-0.7938208936325255,0.81
9,4,0.2,-1.669226526924385,-0.8733531636792436,-0.7958733632451412,0.828
10,4,0.2,-1.6620779740660292,-0.864888392400512,-0.7971895816655173,0.822
11,4,0.2,-1.662971295070479,-0.8695655995075184,-0.7934056955629606,0.798
12,4,0.2,-1.663007813651966,-0.8687287879439644,-0.7942790257080017,0.816
13,4,0.2,-1.6637370602993011,-0.8659031989562828,-0.7978338613430184,0.8
14,4,0.2,-1.6699636520024372,-0.8732673141669295,-0.7966963378355079,0.824
15,4,0.2,-1.6685560203849323,-0.8699728548660163,-0.7985831655189161,0.824
16,4,0.2,-1.6675763302710223,-0.8656331835524629,-0.8019431467185594,0.808
17,4,0.2,-1.6670142753062704,-0.8635643067853519,-0.8034499685209184,0.804
18,4,0.2,-1.6675440205244003,-0.8602627024540193,-0.8072813180703811,0.774
19,4,0.2,-1.6685729318220728,-0.8583064337361095,-0.8102664980859635,0.842
20,4,0.2,-1.6676664501235672,-0.8588585047773756,-0.8088079453461916,0.808
21,4,0.2,-1.672738491189597,-0.8648530056896393,-0.8078854854999575,0.806
22,4,0.2,-1.6717030579334486,-0.8626823551498374,-0.8090207027836116,0.806
23,4,0.2,-1.6771321646025112,-0.868742061000276,-0.8083901036022353,0.788
24,4,0.2,-1.6750733640236573,-0.881265008609057,-0.7938083554146002,0.804
25,4,0.2,-1.6756210768853856,-0.8737526889627985,-0.8018683879225875,0.798
26,4,0.2,-1.6777630879926129,-0.873516507641112,-0.804246580351501,0.804
27,4,0.2,-1.6792068790855483,-0.8712689694053265,-0.8079379096802217,0.768
28,4,0.2,-1.6771876408780009,-0.8677557845273848,-0.8094318563506158,0.782
29,4,0.2,-1.6749537152144767,-0.8645614151341149,-0.8103923000803618,0.818
30,4,0.2,-1.6744852474328356,-0.8671128371279565,-0.8073724103048792,0.798
31,4,0.2,-1.6753078237043242,-0.8653014288791149,-0.8100063948252092,0.806
32,4,0.2,-1.6766730896045263,-0.8703347384370774,-0.8063383511674488,0.808
33,4,0.2,-1.6726536328813773,-0.863465846433331,-0.8091877864480461,0.786
34,4,0.2,-1.6644625090699698,-0.8544722822920767,-0.8099902267778932,0.782
35,4,0.2,-1.6715510365186206,-0.8619312461577247,-0.8096197903608959,0.804
36,4,0.2,-1.670453813608853,-0.8570846952826195,-0.8133691183262333,0.806
37,4,0.2,-1.6733220350059028,-0.8585286752749521,-0.8147933597309505,0.812
38,4,0.2,-1.6735932220244991,-0.8567910196126403,-0.8168022024118589,0.79
39,4,0.2,-1.670732562986503,-0.8511161861012553,-0.8196163768852479,0.774
40,4,0.2,-1.672854500152285,-0.8552735457718318,-0.8175809543804532,0.822
41,4,0.2,-1.6646967270131312,-0.849897542714724,-0.8147991842984071,0.818
42,4,0.2,-1.665630421032114,-0.8479610110314634,-0.8176694100006505,0.788
43,4,0.2,-1.6726900731445689,-0.8565211883417428,-0.8161688848028259,0.792
44,4,0.2,-1.6675058602554913,-0.8500131876571781,-0.8174926725983132,0.784
45,4,0.2,-1.66867899635903,-0.8500280941883991,-0.8186509021706309,0.792
46,4,0.2,-1.6643037945029395,-0.8435382902989138,-0.8207655042040255,0.788
47,4,0.2,-1.6684667283951276,-0.8486833693088313,-0.8197833590862963,0.782
48,4,0.2,-1.6697819316128808,-0.8524936525309572,-0.8172882790819233,0.79
49,4,0.2,-1.6656559240255129,-0.843943033959139,-0.8217128900663738,0.774
50,4,0.2,-1.667135237505257,-0.8438226227511909,-0.8233126147540663,0.81
51,4,0.2,-1.667034729650639,-0.844256634641938,-0.8227780950087008,0.804
52,4,0.2,-1.6685327933429783,-0.8442538565964269,-0.8242789367465514,0.774
53,4,0.2,-1.6677923631921168,-0.843225834895124,-0.8245665282969926,0.81
54,4,0.2,-1.6683292650305428,-0.8445894928668386,-0.8237397721637044,0.786
55,4,0.2,-1.666108364318055,-0.8443018352543384,-0.8218065290637167,0.82
56,4,0.2,-1.6667315018679996,-0.8441887487667794,-0.8225427531012202,0.788
57,4,0.2,-1.6683723808829423,-0.8459635523486735,-0.8224088285342687,0.802
58,4,0.2,-1.6742397334023116,-0.8544310679552742,-0.8198086654470375,0.772
59,4,0.2,-1.6683188249284462,-0.8455266006882545,-0.8227922242401917,0.774
60,4,0.2,-1.668404689101117,-0.8412176515166075,-0.8271870375845098,0.782
61,4,0.2,-1.671676154413989,-0.8445371044938899,-0.8271390499200991,0.784
62,4,0.2,-1.668940230767349,-0.8449702956988967,-0.8239699350684524,0.778
63,4,0.2,-1.6721278816112382,-0.8478940056684451,-0.8242338759427927,0.758
64,4,0.2,-1.6736882664774928,-0.8487850826417729,-0.8249031838357199,0.786
65,4,0.2,-1.6714004369427644,-0.8474585067380077,-0.8239419302047566,0.772
66,4,0.2,-1.6748306936815374,-0.8505465390704731,-0.8242841546110642,0.8
67,4,0.2,-1.6707217679090032,-0.8454474453901963,-0.8252743225188067,0.78
68,4,0.2,-1.6707491241785712,-0.847523338089732,-0.8232257860888392,0.798
69,4,0.2,-1.6668660080514075,-0.846193731825102,-0.8206722762263055,0.782
70,4,0.2,-1.66587309767735,-0.84551145117284,-0.82036164650451,0.784
71,4,0.2,-1.6689885376091846,-0.847280125022353,-0.8217084125868316,0.804
72,4,0.2,-1.6662171714159721,-0.8431769312380039,-0.8230402401779684,0.802
73,4,0.2,-1.6661200205756195,-0.8419068202337272,-0.8242132003418919,0.788
74,4,0.2,-1.667637084117255,-0.8444857642920057,-0.8231513198252493,0.776
75,4,0.2,-1.665911379281395,-0.8434497554069942,-0.8224616238744006,0.772
76,4,0.2,-1.664841765950895,-0.8465624693956312,-0.818279296555264,0.798
77,4,0.2,-1.6713157316568161,-0.849648895417396,-0.82166683623942,0.784
78,4,0.2,-1.6695229647459915,-0.8470455655618857,-0.8224773991841057,0.764
79,4,0.2,-1.6748775375151108,-0.8525820410705134,-0.8222954964445975,0.792
80,4,0.2,-1.6683601678493214,-0.8535276537068914,-0.81483251414243,0.794
81,4,0.2,-1.6730415567947037,-0.8517163687356595,-0.8213251880590442,0.796
82,4,0.2,-1.6746106153979017,-0.8502837901310097,-0.8243268252668918,0.788
83,4,0.2,-1.6783801875865998,-0.8578477629138274,-0.8205324246727722,0.794
84,4,0.2,-1.6721616138631905,-0.8498826487014858,-0.8222789651617047,0.788
85,4,0.2,-1.6714771371737256,-0.848865487941077,-0.8226116492326486,0.81
86,4,0.2,-1.6692625280046847,-0.8488987686001432,-0.8203637594045413,0.772
87,4,0.2,-1.670504325848823,-0.8497417581787022,-0.8207625676701209,0.812
88,4,0.2,-1.6685923170367185,-0.8470197779121961,-0.8215725391245222,0.762
89,4,0.2,-1.6678883649064824,-0.8464861636442583,-0.8214022012622243,0.788
90,4,0.2,-1.6667008745408871,-0.8454815464626213,-0.8212193280782659,0.802
91,4,0.2,-1.6626621808202613,-0.8384548436450909,-0.8242073371751703,0.776
92,4,0.2,-1.6663704288229078,-0.8407129755513416,-0.8256574532715663,0.814
93,4,0.2,-1.6636090820421188,-0.8387351253842596,-0.8248739566578592,0.794
94,4,0.2,-1.6658473268574485,-0.8405594775687455,-0.8252878492887031,0.814
95,4,0.2,-1.6648734859012557,-0.8385818507687689,-0.8262916351324866,0.784
96,4,0.2,-1.6670274947079728,-0.8401636350924966,-0.8268638596154761,0.764
97,4,0.2,-1.6707249889348867,-0.8417731756966981,-0.8289518132381886,0.814
98,4,0.2,-1.6662391996110504,-0.8400436793016349,-0.8261955203094155,0.79
99,4,0.2,-1.6706691754942908,-0.8447649841666847,-0.8259041913276062,0.812
100,4,0.2,-1.6669603510040079,-0.8400750025258549,-0.8268853484781531,0.812
101,4,0.2,-1.668513202934936,-0.8426598086080104,-0.8258533943269256,0.812
102,4,0.2,-1.6665110639398149,-0.8424134098280451,-0.8240976541117697,0.806
103,4,0.2,-1.6695816954292164,-0.8446502224610256,-0.8249314729681909,0.828
104,4,0.2,-1.666729103318034,-0.8443404314033353,-0.8223886719146988,0.786
105,4,0.2,-1.6691084601335389,-0.8446785292170832,-0.8244299309164556,0.784
106,4,0.2,-1.6696825125459314,-0.8423909417006594,-0.8272915708452718,0.796
107,4,0.2,-1.6715425898468783,-0.8431218467423257,-0.8284207431045526,0.784
108,4,0.2,-1.6698529258950512,-0.8420565911016665,-0.8277963347933847,0.802
109,4,0.2,-1.669836998452874,-0.8459820631745489,-0.8238549352783251,0.806
110,4,0.2,-1.6703977012462528,-0.8469910497904661,-0.8234066514557866,0.788
111,4,0.2,-1.6734810856147024,-0.8520347321334327,-0.8214463534812696,0.828
112,4,0.2,-1.680903693392089,-0.8585552472318339,-0.8223484461602549,0.812
113,4,0.2,-1.675791757782027,-0.8517611354981154,-0.8240306222839116,0.776
114,4,0.2,-1.6720417687826745,-0.8482281045320507,-0.8238136642506239,0.792
115,4,0.2,-1.6733860614222968,-0.8497557712678875,-0.8236302901544094,0.792
116,4,0.2,-1.669264167512617,-0.8486874526945908,-0.8205767148180262,0.776
117,4,0.2,-1.6684559500385336,-0.850546882768947,-0.8179090672695867,0.764
118,4,0.2,-1.671271798556714,-0.850571623263345,-0.8207001752933688,0.814
119,4,0.2,-1.6685519836965026,-0.8472746489577155,-0.821277334738787,0.788
120,4,0.2,-1.670074848242103,-0.847139907608592,-0.822934940633511,0.792
121,4,0.2,-1.6687539140468965,-0.8470033533185404,-0.8217505607283561,0.766
122,4,0.2,-1.668346678507538,-0.8473540559023925,-0.8209926226051454,0.83
