step,r_s,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,8,-0.3483608959695792,1.0000022244758464,2.220446049250313e-16,0.14206680986761955,-0.3483453424023547,0.01,10
1,8,-0.3520037635328841,1.000039258391847,0.001224343968799666,0.12298800512065716,-0.35204865719078093,0.01,10
2,8,-0.35193868500407416,1.0000407376344849,0.002441587233439858,0.1233821328447614,-0.35219657553813155,0.01,10
3,8,-0.3518831270197934,1.0000416373161116,0.0036543417688636804,0.1243016397310525,-0.3522865399954039,0.01,10
4,8,-0.3517486273104108,1.000042233690851,0.004870572994074156,0.1265358635375418,-0.3523461749685232,0.01,10
5,8,-0.3511497316310695,1.0000404798079954,0.0061388282105566995,0.14290012998039328,-0.3521707939361554,0.01,10
6,8,-0.3512208631493062,1.000039894589922,0.00744290670150023,0.13798004198462632,-0.35211227448056,0.01,10
7,8,-0.3515035766305404,1.0000432086034445,0.00871024833964945,0.13470209863406632,-0.3524436620631176,0.01,10
8,8,-0.3521102213870726,1.0000488924729478,0.009925422045959514,0.12785765543297564,-0.3530120228401173,0.01,10
9,8,-0.35296356298624243,1.0000571453972615,0.011082453537082365,0.1229202522966013,-0.35383727151769,0.01,10
10,8,-0.3530345999604195,1.0000628555392903,4.440892098500626e-16,0.12289004513070773,-0.3544082514614628,0.01,10
11,8,-0.35682797454909254,1.0000839986366428,0.0011241047536495138,0.10929389678310258,-0.3565224059605821,0.01,10
12,8,-0.35712352643779816,1.0000903223708102,0.0021923264054812632,0.10702808658108728,-0.3571547242641416,0.01,10
13,8,-0.35709512280872674,1.0000927384557132,0.0032342018364053104,0.10558486006560824,-0.35739631064194627,0.01,10
14,8,-0.35697190580838795,1.0000930399758308,0.004262625153119619,0.10547305598026527,-0.3574264598531698,0.01,10
15,8,-0.35671800912048124,1.0000922832965748,0.005296108380276095,0.1074743262570008,-0.3573507989384461,0.01,10
16,8,-0.35688335942708915,1.0000929644462664,0.006329484905042023,0.10656524980568902,-0.3574189075991227,0.01,10
17,8,-0.356838806225019,1.0000944945998202,0.007337392343986447,0.1037412778975169,-0.3575719086137958,0.01,10
18,8,-0.35670558157052057,1.0000946267426025,0.008338950564439602,0.1061437877545496,-0.35758512164259326,0.01,10
19,8,-0.3567443027880429,1.0000953489466609,0.009350952569858777,0.10682817157443117,-0.3576573351890188,0.01,10
20,8,-0.3563888618015783,1.0000950422356634,2.220446049250313e-16,0.11110794663772407,-0.3576266670087282,0.01,10
21,8,-0.3624833828186596,1.0001439153927005,0.0009284836323003141,0.09327315398217614,-0.3625133988524866,0.01,10
22,8,-0.3620712930634987,1.0001428679561104,0.0018643695845902495,0.09527596852085228,-0.362408670210688,0.01,10
23,8,-0.36175799844400436,1.0001401455737984,0.002806338234940435,0.09547432051300908,-0.36213647049758135,0.01,10
24,8,-0.36139577195589245,1.0001376925877112,0.003753269409623472,0.09764995249288785,-0.36189120596078744,0.01,10
25,8,-0.3615702368026861,1.0001376657403556,0.004697878301646128,0.09580801126738234,-0.3618885215947997,0.01,10
26,8,-0.3613157813167019,1.0001381707515433,0.005638906513879809,0.09773700952687366,-0.36193901574952086,0.01,10
27,8,-0.36103064373524185,1.0001364879953543,0.006592787202947193,0.10023575248036296,-0.36177076323663,0.01,10
28,8,-0.36143154922062626,1.0001379132573274,0.007532799684992607,0.0955415463120722,-0.3619132698819367,0.01,10
29,8,-0.3613920464329616,1.0001403831373163,0.008443341192780939,0.09425537020844015,-0.36216022351768057,0.01,10
30,8,-0.36131589127560976,1.000140542936421,2.220446049250313e-16,0.09369935810414926,-0.3621762011838377,0.01,10
31,8,-0.36063380771282333,1.0001246463410403,0.0009355248045791167,0.0934157997105687,-0.3605867523981194,0.01,10
32,8,-0.36081446021731745,1.0001273146890468,0.0018581629797930716,0.09229773243322299,-0.3608535535870173,0.01,10
33,8,-0.3607709508225707,1.0001288240024786,0.0027676027022089235,0.0915018052971161,-0.36100446560300437,0.01,10
34,8,-0.36044850390259,1.0001278322449363,0.0036765145090357095,0.09289615991156157,-0.3609053025741769,0.01,10
35,8,-0.36050802626051726,1.0001273860322246,0.004590700609469095,0.09325871596815609,-0.36086068699636176,0.01,10
36,8,-0.360354763161357,1.0001277986124637,0.005508849510924961,0.09457890928772708,-0.36090193975674256,0.01,10
37,8,-0.35998933038332687,1.0001260997359203,0.006430573044116661,0.09482479909098705,-0.36073207366676074,0.01,10
38,8,-0.35991439042734624,1.0001247842102707,0.007352739183830859,0.09562126049821808,-0.3606005376019538,0.01,10
