step,elocal,weight,weightvar,elocalvar,eref,tau
0,1.2677135500961735e-10,1.0000000000000417,7.88250978695924e-13,7.882512027042178e-11,1.3089256464449726e-10,0.01
1,1.3288974178977793e-10,1.0000000000000215,9.269310298177258e-13,9.269281678287596e-11,1.3087102631781954e-10,0.01
2,1.3436865229223132e-10,0.9999999999999867,8.241925432575227e-13,8.241886121830491e-11,1.3088434899411504e-10,0.01
3,1.2030283481202923e-10,1.0000000000000924,5.307656080525367e-13,5.3076319424490925e-11,1.3079197843846622e-10,0.01
4,1.225260952215621e-10,1.000000000000175,6.684730687486121e-13,6.684739938834374e-11,1.3061700728978533e-10,0.01
5,1.266056383507168e-10,1.0000000000002152,7.210748070117479e-13,7.21074226284381e-11,1.30401846067613e-10,0.01
6,1.3026848994816522e-10,1.0000000000002165,7.915171466746413e-13,7.915118941124768e-11,1.3018535257781112e-10,0.01
7,1.6599156171760129e-10,0.9999999999998584,1.9030257437663643e-12,1.9030264873796617e-10,1.3032690601345082e-10,0.01
8,1.587983334281361e-10,0.9999999999995737,1.9978725717855076e-12,1.9978919265654818e-10,1.30753231654907e-10,0.01
9,1.5674959718909527e-10,0.9999999999993138,1.3916058827844623e-12,1.3916069360459796e-10,1.3143946050642803e-10,0.01
10,1.5640870547050465e-10,0.9999999999990641,9.453146197470069e-13,9.453171086769606e-11,1.3237537851618748e-10,0.01
11,1.6284566198325383e-10,0.9999999999987592,1.6155193925524909e-12,1.6155224292119213e-10,1.3361616376850933e-10,0.01
12,1.536172341637372e-10,0.9999999999985593,1.3078792314007884e-12,1.307874750739304e-10,1.3505690018756643e-10,0.01
13,1.268273323712586e-10,0.9999999999986415,6.237582234972105e-13,6.237623307582502e-11,1.364153690804987e-10,0.01
14,1.3740589548133054e-10,0.9999999999986317,7.078050248201701e-13,7.078007821786236e-11,1.3778371895835013e-10,0.01
15,1.420278574075185e-10,0.9999999999985892,8.143345641378425e-13,8.143297206518313e-11,1.3919447935574233e-10,0.01
16,1.4216109192214497e-10,0.9999999999985596,8.850165672660035e-13,8.850182002634496e-11,1.4063488270789204e-10,0.01
17,1.4489131389739357e-10,0.9999999999985171,9.219824501106526e-13,9.219833151969587e-11,1.4211780760188497e-10,0.01
18,1.432000513359671e-10,0.9999999999985063,7.332409669320375e-13,7.33234036060676e-11,1.4361150165921677e-10,0.01
