step,elocal,weight,weightvar,elocalvar,eref,tau
0,(-1.4809545683543093-1.0696510305937366e-10j),(1.0107823080551566+1.0841220061646083e-12j),0.0057014489810830495,0.5623035996979304,(-1.482538789721109-1.072557362277704e-10j),0.01
1,(-2.536537731419383+2.6297691628420443e-06j),(1.0106086342995269-2.8509757798798035e-08j),0.00511620661793333,0.5048780247102056,(-2.5378145472311218+2.8209410542813005e-06j),0.01
2,(-2.6502536511256807-0.0002512599712575977j),(1.0011356246370176+2.543155487222593e-06j),0.00460867942687076,0.4601301677142855,(-2.6513125778665243-0.00025120612826903804j),0.01
3,(-1.648589493038514-0.00018961057801742559j),(0.9900293430022077-6.374535868532179e-07j),0.0035814151982947436,0.36137468369543063,(-1.6492428882302193-0.0001868187854737136j),0.01
4,(-0.5053078793381078+0.00014946820396915628j),(0.9886293976224038-3.330035234774012e-06j),0.0026555562474936787,0.26864795390757534,(-0.5056686956442622+0.0001500147380660435j),0.01
5,(-0.42390430346626184+6.955482783777695e-08j),(0.9991873842459171+1.5093491336618262e-06j),0.0030618510053809626,0.3065752657778287,(-0.4243740852340937-1.042927138544548e-06j),0.01
6,(-1.4747124481298743-0.0007780432919155251j),(1.0105617986996935+7.858294250942714e-06j),0.002486517223950005,0.24618167262996926,(-1.4750153429985153-0.0007786593243639014j),0.01
7,(-2.676894900293485-0.0017124627579209921j),(1.0120947467668164+9.47202463077146e-06j),0.0026374524371398944,0.260531714834072,(-2.677234324403451-0.001714542517192808j),0.01
8,(-2.7323909200802454-0.001907665879023841j),(1.0005537190557026+1.9345474547636653e-06j),0.0020014713818515286,0.1999803327293566,(-2.7325909055777475-0.0019078902023712742j),0.01
9,(-1.518073873479966-0.0014131518044279263j),(0.9879301713791437-4.882875347577474e-06j),0.0019322410182530134,0.19537594739841999,(-1.5182648594246617-0.0014136371175888494j),0.01
10,(-0.2526595885844615-0.0008237476562245165j),(0.9874241295925785-5.8257374598015104e-06j),0.0009230617676913572,0.09347153516655918,(-0.25270326608290206-0.0008236436907381532j),0.01
11,(-0.20552135425191642-0.0007980511455808539j),(0.99952913974339-2.5393069210446597e-07j),0.00130202271452241,0.1302458120374469,(-0.20560615147503486-0.0007982386593080888j),0.01
12,(-1.4732796541231656-0.0021386965065564693j),(1.0127589026102655+1.3569151194040393e-05j),0.0017304603533361974,0.17080500166884616,(-1.47342551975279-0.002138059139607554j),0.01
13,(-2.827785844979091-0.0026341226129852208j),(1.013636674721207+5.043201610361739e-06j),0.0013817939303732679,0.1363238089372663,(-2.827878721746057-0.002635594571788638j),0.01
14,(-2.9131333197550813-0.002181960705574758j),(1.0008541715495312-4.542072353245364e-06j),0.0015896058042598714,0.1588149371291118,(-2.913259418037544-0.0021817749762543448j),0.01
15,(-1.6857333516491608-8.080155957910059e-05j),(0.9878010399547531-2.0770668163025416e-05j),0.0015824077161040173,0.1601974523629607,(-1.6858616324179494-7.905718999693875e-05j),0.01
16,(-0.43950601723548266+0.001640263809921721j),(0.987621238804284-1.704531159784022e-05j),0.003840493191604045,0.38807805128013895,(-0.44026002029017897+0.0016468384192129838j),0.01
17,(-0.37041722536236166+0.0008948947504341285j),(0.9993051380936802+7.4816935847965814e-06j),0.0025772763656533512,0.2578531441546046,(-0.37074967961819516+0.0008981488248685368j),0.01
18,(-1.4289646885597573-0.0004574205178727434j),(1.0106413664930933+1.3659848614862872e-05j),0.002476668884331599,0.24465850437147,(-1.4292642532932374-0.0004534531446244085j),0.01
19,(-2.5263366681927883-0.0023342045707229614j),(1.0110334125397669+1.8996923995370745e-05j),0.00215438347066756,0.2127060341800431,(-2.526563120244374-0.0023324141915609183j),0.01
20,(-2.472519764828519-0.001969696264778095j),(0.9994604964341778-3.6254406490194454e-06j),0.001252224493150539,0.12525862277629313,(-2.4725982058787146-0.0019696744272642602j),0.01
21,(-1.2985893039963488+0.0005256924003924399j),(0.988328880240283-2.4673420433949712e-05j),0.0008006069157018612,0.08099234127833818,(-1.2986220482763224+0.0005268043180320699j),0.01
22,(-0.19849475734690813+0.003181045492596975j),(0.9890594618506304-2.626930968216583e-05j),0.0009362005416265679,0.09462563115062614,(-0.19853948746198835+0.0031827932336869753j),0.01
23,(-0.28250252089341393+0.004213728807404568j),(1.0008406803198886-1.0333775648381513e-05j),0.0011822871404142707,0.11808462643362377,(-0.282572207403584+0.004215302788025975j),0.01
24,(-1.4971692925189442+0.00228413011357487j),(1.0122211633098326+1.9518005860945062e-05j),0.0015139799126734682,0.14950083971700961,(-1.4972810068640534+0.0022870674807632116j),0.01
25,(-2.689493878026793-0.002072393361305687j),(1.0119948189332033+4.410946176858563e-05j),0.0016468811962533168,0.16272934952388124,(-2.6896262239484816-0.002071597298484446j),0.01
26,(-2.656383688157428-0.004236717542695538j),(0.9996682899124987+2.1633776384012067e-05j),0.0011510759345829296,0.11512889115552657,(-2.656449735818873-0.004235692788852398j),0.01
27,(-1.4032705345810246-0.0005414279607610946j),(0.9875473439602657-3.651540412091198e-05j),0.001365640017021838,0.1382555817737355,(-1.403365793659644-0.000538107622166988j),0.01
28,(-0.191401299075077+0.003855686631642567j),(0.9879543500319903-4.343011831050205e-05j),0.0012969179034028457,0.13131370159751724,(-0.19148721800325852+0.0038578564505778973j),0.01
29,(-0.2914440490155651+0.006180547700580448j),(1.0010005142797218-2.325402648221799e-05j),0.0009480739712262989,0.09474808654014209,(-0.29148865487746256+0.006180934825294563j),0.01
30,(-1.584032719140522+0.003220206542005565j),(1.0130105457767622+2.9988121190416695e-05j),0.0015675580023609052,0.15475493296281773,(-1.5841522640329426+0.003220637787255108j),0.01
31,(-2.8462085909068064-0.000600580688679274j),(1.0127023975543203+3.8689353626840885e-05j),0.0019419922613077311,0.19172961626346516,(-2.846392221063728-0.0005997692446086233j),0.01
32,(-2.825262457698164-0.0025797495464269563j),(0.999790869412609+1.979451559758364e-05j),0.0020738643490010836,0.20735774189653375,(-2.825476994838902-0.0025796348545663135j),0.01
33,(-1.556341197870061-2.650347900783768e-05j),(0.9873895671550461-2.5215003353080822e-05j),0.001204939249703143,0.12206543209974345,(-1.5564151085009585-2.593121150967553e-05j),0.01
34,(-0.2828632148797793+0.006057939021337851j),(0.9873462970729832-6.011699050833626e-05j),0.001452603485228929,0.14710609668525754,(-0.2829710083611727+0.006062812992247875j),0.01
35,(-0.29190725422809444+0.007719956427156018j),(1.0000922154037994-1.657646386187756e-05j),0.0023897249208497335,0.23867118756251962,(-0.2921921373196305+0.007720306531847781j),0.01
36,(-1.7804211790087239+0.0028016938898903646j),(1.01499787538317+4.98432403376178e-05j),0.0029535192653393112,0.29095531400972047,(-1.7808441851940562+0.002809632184008741j),0.01
37,(-3.4012798416054317-0.007277080424585836j),(1.0163463885547959+0.00010256597121560087j),0.004523278974889904,0.4441575452874799,(-3.402267161255141-0.007282003111046968j),0.01
38,(-3.7243500624483383-0.010387998743564495j),(1.0032478989618199+3.143135666680183e-05j),0.006641317574594653,0.6597728715461451,(-3.7265308034093136-0.010414963238752578j),0.01
39,(-2.410712297880223-0.004145171771663906j),(0.9869573899912925-6.166368374857971e-05j),0.007636791829513788,0.7707727815927551,(-2.4136898270559373-0.004167106513257311j),0.01
40,(-1.0037674976587931+0.00395527529028712j),(0.986032923019791-7.999129795425701e-05j),0.008097045277090991,0.8207830200750098,(-1.0071367110792844+0.00394533029400464j),0.01
41,(-1.1839972474431055+0.0035736590907697163j),(1.0018279685400646+3.5933706630561085e-06j),0.010771168090511518,1.073777318861705,(-1.1897666956044486+0.003586648886030253j),0.01
42,(-2.493950370474428-0.002649171256318897j),(1.0131582419698626+6.360370236904107e-05j),0.007933901971501633,0.7818118898803419,(-2.49700932173564-0.0026911169802201077j),0.01
43,(-3.3722459249808105-0.00832178792315176j),(1.008801500916814+5.69108672488587e-05j),0.00464837465250381,0.4613222163856133,(-3.3733088300074163-0.008332550615753246j),0.01
44,(-3.069569304746436-0.009830446310841519j),(0.9969882441507235+1.5192779409365295e-05j),0.0064757881712268345,0.6496299908972195,(-3.071678810342175-0.009856418073300966j),0.01
45,(-1.9236659662970041-0.005339007943164709j),(0.9886097235739788-4.4343660611272423e-05j),0.0069200662684233945,0.6998100088539465,(-1.9261146652709331-0.005370961424015307j),0.01
46,(-1.1326935031813254+0.0004212335531425942j),(0.9921536462411185-5.7044315496798925e-05j),0.010617986513097229,1.0653294547332295,(-1.1383849938522896+0.0003785830795058828j),0.01
47,(-1.2334621072181808+0.0029744411839548075j),(1.0009756780450783-2.5899098551737006e-05j),0.007013686131910893,0.6982109633852052,(-1.2359052653877156+0.0029659684789732233j),0.01
48,(-2.287828466630303-7.468793462537876e-05j),(1.0106243303779718+3.086796766418406e-05j),0.010041194679617033,0.9890210016287186,(-2.292734188725009-8.837790145090063e-05j),0.01
49,(-3.1487180917594477-0.003682374050435278j),(1.0086314285197737+3.641619287889227e-05j),0.008411870651174783,0.8299844842655906,(-3.1521733253165136-0.003698833795782081j),0.01
50,(-3.1251872558838243-0.004072983088222157j),(0.9997850378889137+4.05093256680361e-06j),0.010524297684908458,1.045145305116125,(-3.13067480426212-0.004104014150884729j),0.01
51,(-3.0458724016609104-0.0009354881533847779j),(0.9998891474378735-3.08029929628647e-05j),0.039665357529774375,3.777436168599779,(-3.119588981041273-0.0010233733586478854j),0.01
52,(-3.0642923146816083-0.0007015006809053376j),(0.9997414916107186-2.1684520826078763e-06j),0.024481005734376247,2.4156211390045734,(-3.09373480044305-0.0008064720795871548j),0.01
53,(-3.5375750089039735-0.0016643109750292388j),(1.0050676472839126+9.60828751639969e-06j),0.035861196836272875,3.4831398093041446,(-3.599219802616081-0.0017624562406605266j),0.01
54,(-3.953892662052107-0.007021474164500057j),(1.0038726582426774+5.3406273098218746e-05j),0.025470754597365034,2.5169320315116206,(-3.9857378247022073-0.007082480908064466j),0.01
55,(-3.1729529528946148-0.008937581123772463j),(0.9920370963705099+1.804400003414823e-05j),0.01626638965220411,1.627291016983057,(-3.186260155076721-0.008901364506084598j),0.01
56,(-1.8103235687780843-0.007196714332167869j),(0.9863713961519709-1.6869214026470883e-05j),0.00848865374698302,0.8607817335672973,(-1.814027592067856-0.007191135064047215j),0.01
57,(-1.4850764523308517-0.0032620393667355287j),(0.9967598358940079-3.91376098950879e-05j),0.009368020580883749,0.9386103295440346,(-1.489485188707516-0.0032646516258505245j),0.01
58,(-2.1297346976015628-0.0005285844851359821j),(1.006449620750038-2.76761019441885e-05j),0.007319564549169745,0.7267022063009904,(-2.132376321052213-0.0005147770800598122j),0.01
59,(-3.0744087617958877-0.0013547834027312494j),(1.0094901616984975+8.554945442356568e-06j),0.0071538432320525785,0.7082365232687656,(-3.0769176252506902-0.0013622291669387787j),0.01
