,n_equil,r_s,tau,eavg,err
0,1600,1,0.0125,-1.4134726066097936,0.0016569100178639214
1,800,1,0.025,-1.4066174112904672,0.001753110664292561
2,400,1,0.05,-1.4002670904486576,0.0016073235761274382
3,200,1,0.1,-1.4002795812604543,0.0023387473631250825
4,800,2,0.025,-0.7192141239251688,0.0015556946834206528
5,400,2,0.05,-0.7141402371721348,0.0015935831224681966
6,200,2,0.1,-0.7070620756936074,0.0013895337707142844
7,100,2,0.2,-0.7035918689497566,0.0016864998487860093
8,400,4,0.05,-0.3682545820313926,0.0009741573892478343
9,200,4,0.1,-0.36587287283717745,0.000978929466574168
10,100,4,0.2,-0.3614542203874346,0.0011790808873918968
11,50,4,0.4,-0.35790718483705025,0.0011762008139371185
12,200,8,0.1,-0.19001632996738765,0.0004608468967444226
13,100,8,0.2,-0.18987008587558427,0.000580657796858619
14,50,8,0.4,-0.18759274336845294,0.000508713355118005
15,25,8,0.8,-0.18437587223770008,0.0008505204863588549
