step,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,-2.967720817084391,1.0000007703871066,2.220446049250313e-16,0.5204783093756223,-2.9680851303178666,0.0025,10
1,-2.956173617046272,0.9999709464104392,0.0012916255611583839,0.5163897972527179,-2.9561553709441095,0.0025,10
2,-2.953678082854144,0.9999703588604101,0.0025780432569323967,0.5147058641670538,-2.9559203440350728,0.0025,10
3,-2.953440586626174,0.9999685782818701,0.003860720278479535,0.5147524075714452,-2.9552080908730076,0.0025,10
4,-2.9520970674125366,0.9999682273850198,0.005140919775500291,0.5137057482642932,-2.9550677276977666,0.0025,10
5,-2.9519862368286947,0.9999680048076334,0.006415784939474704,0.5121624674017632,-2.954978693904445,0.0025,10
6,-2.9503512556877642,0.9999674063733925,0.007686744834337634,0.5116523981923715,-2.954739312477411,0.0025,10
7,-2.9487454930663533,0.999964934605375,0.008955159486425167,0.5110271013093999,-2.953750571821786,0.0025,10
8,-2.9494349312959667,0.9999653839882131,0.010223758851082856,0.5125315230011618,-2.9539303312199285,0.0025,10
9,-2.948713113821501,0.9999669376071192,0.011492602634630538,0.5125238629603587,-2.954551799812373,0.0025,10
10,-2.948277164168975,0.9999670519944028,3.3306690738754696e-16,0.5134337572571157,-2.954597556235871,0.0025,10
11,-2.9571011938142604,0.9999748033671915,0.0012820611565005852,0.5131651386203996,-2.957698195494119,0.0025,10
12,-2.9555319779055744,0.9999738001179558,0.0025593401118388544,0.5123252281066101,-2.957296885486887,0.0025,10
13,-2.952141992101162,0.9999692030768366,0.0038300233668271213,0.50976436840997,-2.95545801663437,0.0025,10
14,-2.9510450830704738,0.9999651866789665,0.005097570184029391,0.5121380536291837,-2.953851404781247,0.0025,10
15,-2.9517223839433697,0.9999662653892571,0.006365987269205575,0.511491357441423,-2.954282903686706,0.0025,10
16,-2.9493592913356723,0.9999657460966452,0.0076331037535475104,0.5120485306360354,-2.9540751795804994,0.0025,10
17,-2.9493292858222877,0.9999643534654066,0.008900955068220378,0.5137820272366539,-2.9535181076152317,0.0025,10
18,-2.949174137494641,0.9999657158332741,0.010168992763798644,0.5121208363846554,-2.954063073817198,0.0025,10
19,-2.94689411619246,0.9999642243069656,0.011433682873792945,0.5106522289477065,-2.953466442393837,0.0025,10
20,-2.947785718271102,0.9999640250353041,2.220446049250313e-16,0.5109855211352284,-2.953386730869662,0.0025,10
21,-2.93648823530412,0.9999209607775972,0.001235188239625813,0.4959037550054259,-2.9361600371271193,0.0025,10
22,-2.9334697942775376,0.9999202957212207,0.002470861661461028,0.49621499706112987,-2.9358939934601445,0.0025,10
23,-2.935046195339469,0.9999200136218287,0.003705955524150626,0.49725359861881074,-2.9357811446929047,0.0025,10
24,-2.9377929013715938,0.9999269461123724,0.004943151206484517,0.5001171452620458,-2.9385543531166927,0.0025,10
25,-2.9371629112862627,0.9999311180373117,0.006181098471914285,0.5001952158961047,-2.940223241529926,0.0025,10
26,-2.9372742666991485,0.9999320014225063,0.007420469223351554,0.5027575015078866,-2.9405766197930685,0.0025,10
27,-2.9369724887730166,0.9999332937850972,0.008660772843250208,0.5019202787631212,-2.941093599649285,0.0025,10
28,-2.937035013518971,0.9999344901456972,0.009898308881961415,0.5028503192370082,-2.9415721755270225,0.0025,10
29,-2.9355306258651335,0.999934182771132,0.011134117576805361,0.5027543780129227,-2.941449217627092,0.0025,10
30,-2.936375244037706,0.9999348592660943,3.3306690738754696e-16,0.5027971083655384,-2.941719833331545,0.0025,10
31,-2.946276727013521,0.99994856700033,0.0012511939318397244,0.501547686632669,-2.947203246636928,0.0025,10
32,-2.943281395507966,0.999944842130464,0.0024981312931617924,0.49994415463917935,-2.9457132192788755,0.0025,10
33,-2.939690761822163,0.9999381262733916,0.0037357666851052652,0.4958698135664239,-2.9430267192472415,0.0025,10
34,-2.9404717800475617,0.9999361121108662,0.004967743226174781,0.4972142020004705,-2.9422210035730303,0.0025,10
35,-2.940094695943818,0.9999381347964841,0.006201055127339722,0.49925105088447824,-2.9430301286951464,0.0025,10
36,-2.940996624865275,0.9999403229941446,0.007437274153210974,0.5018690535959136,-2.943905460954231,0.0025,10
37,-2.94137729354456,0.9999434531775939,0.0086748117165831,0.5015012108209634,-2.9451576070986163,0.0025,10
38,-2.942057059866619,0.9999462930328316,0.009912107819009518,0.5035430439442954,-2.9462936118180396,0.0025,10
39,-2.9395148902694546,0.9999454340022942,0.011145271098499797,0.500817720711434,-2.945949981000118,0.0025,10
40,-2.9354782344200974,0.9999385830825903,0.0,0.496455236722926,-2.943209454191434,0.0025,10
41,-2.935702627886527,0.999921200117214,0.0012567135361420826,0.504446627812278,-2.936255780529784,0.0025,10
42,-2.9332104846347846,0.9999190613931999,0.0025104854803887147,0.5019240989472212,-2.9354002225913614,0.0025,10
43,-2.93337910627617,0.9999177069298755,0.0037595755997528947,0.5026355595384392,-2.9348583930397125,0.0025,10
44,-2.9307594137506814,0.9999161561168631,0.005000542327534025,0.49807507625138586,-2.934238016301019,0.0025,10
45,-2.930286283017052,0.9999137743878588,0.006233962331736772,0.4988691366297447,-2.9332852436805044,0.0025,10
46,-2.9275615066342096,0.9999112382823698,0.007460742771203081,0.49589502554480325,-2.93227071271991,0.0025,10
47,-2.9270540917883037,0.9999086299253307,0.008680497520547163,0.49503377242929913,-2.931227275926193,0.0025,10
48,-2.9260615678346658,0.9999082073081668,0.009898165882377673,0.4949903585571771,-2.9310582135776495,0.0025,10
49,-2.9237012963260907,0.9999054334519242,0.01111141890055719,0.49387101122042026,-2.929948567684239,0.0025,10
50,-2.9268505728132888,0.9999078154599913,2.220446049250313e-16,0.49559009900902945,-2.9309014598878687,0.0025,10
51,-2.928235524037799,0.9999024924143155,0.0012438207713069765,0.49997717604212294,-2.928772039650411,0.0025,10
52,-2.9301400104913653,0.9999058511997524,0.0024882617081259184,0.5000521599499285,-2.9301156825840873,0.0025,10
53,-2.93292264489012,0.9999132468706805,0.0037309358202918096,0.5007064990018424,-2.933074218557813,0.0025,10
54,-2.9322436506107357,0.999917384722001,0.004967792099373541,0.4991684619319403,-2.9347294992620974,0.0025,10
55,-2.9330343442545925,0.9999190212399074,0.006200777175443941,0.5010802360879375,-2.9353841599739834,0.0025,10
56,-2.9337723986040345,0.9999224542159486,0.007435562192872545,0.5026147689552344,-2.936757459241316,0.0025,10
57,-2.9323893473732823,0.9999231380525015,0.008667890016496243,0.5013513799357876,-2.937031014982027,0.0025,10
58,-2.9293925713150473,0.9999190958857516,0.009892976374326264,0.4983607153958656,-2.9354140207286283,0.0025,10
59,-2.9264273265680822,0.9999130294354325,0.011109133208670496,0.4957109336428911,-2.9329872369032173,0.0025,10
60,-2.92711317744011,0.9999115904752217,0.0,0.4965062952566387,-2.9324116023414755,0.0025,10
61,-2.9400569604178726,0.9999292469630571,0.0012578147158728143,0.5057218308689416,-2.9394747595708797,0.0025,10
62,-2.9372431271234607,0.999929554119863,0.0025150259517366528,0.505167805286682,-2.9395976309678944,0.0025,10
63,-2.936063719500393,0.9999261155567035,0.003766128262578534,0.5034926485716023,-2.9382221064391745,0.0025,10
64,-2.935617452275535,0.9999256230787438,0.005013565565234821,0.5038425103519384,-2.9380251006511164,0.0025,10
65,-2.935244661703898,0.9999261381550685,0.0062598191139493315,0.5048066783565561,-2.9382311464530035,0.0025,10
66,-2.9327240089871394,0.9999240204371698,0.007500395301202423,0.5014451533617016,-2.937383995824404,0.0025,10
67,-2.9327365012050226,0.9999223457926762,0.008733529526679173,0.5021633638582548,-2.9367140865666492,0.0025,10
68,-2.934052424174307,0.9999255125993828,0.00996690649102909,0.504411363176339,-2.937980905617198,0.0025,10
69,-2.9307372517187025,0.9999245408144675,0.0112024863118326,0.5047867655748653,-2.9375921625057333,0.0025,10
70,-2.9277784529691018,0.9999181296856338,1.1102230246251565e-16,0.5014516437517329,-2.9350275092243767,0.0025,10
71,-2.932244376256942,0.9999133186220263,0.0012690684637773632,0.5094084081425775,-2.93310292158511,0.0025,10
72,-2.9307839145597767,0.9999117542649374,0.0025358880889449443,0.509346867923721,-2.9324771240150707,0.0025,10
73,-2.930564286688731,0.99991123604857,0.0037979445867261747,0.5086415553377353,-2.9322698191206356,0.0025,10
74,-2.929126774161294,0.9999107334269601,0.005056700794690909,0.5085038723366293,-2.932068752578689,0.0025,10
75,-2.9260858736531015,0.9999066522803657,0.006306185915841019,0.5041095802766609,-2.9304361448721763,0.0025,10
76,-2.9227337273901366,0.9999001035869587,0.007541355620807442,0.5002941341091873,-2.927816414385612,0.0025,10
77,-2.9217342761142637,0.9998960735033484,0.008764750093963457,0.49805342651028084,-2.9262042166400697,0.0025,10
78,-2.925534894057675,0.9999010436460539,0.009987066502504726,0.501763648362802,-2.928192475414042,0.0025,10
79,-2.9246909280186517,0.9999062557382936,0.011213082193489998,0.5033761069001158,-2.930277513203925,0.0025,10
80,-2.9235769032571044,0.9999052408270477,4.440892098500626e-16,0.5021056089294808,-2.9298715104392823,0.0025,10
81,-2.928139266031118,0.9999055570262133,0.001249519388299234,0.5005815871389548,-2.9299980020718124,0.0025,10
82,-2.9289634853413955,0.9999042741281369,0.002496681980191132,0.5027350314241303,-2.929484794043136,0.0025,10
83,-2.9289370639985566,0.9999068091495162,0.0037404740325746354,0.5018762697598247,-2.930498898385542,0.0025,10
84,-2.9268765530278578,0.9999057023992325,0.004976606018765921,0.5000744675366227,-2.930056156767576,0.0025,10
85,-2.928411880994796,0.9999065207651505,0.006205661806678651,0.49942734861392923,-2.9303835338717246,0.0025,10
86,-2.9288737282431745,0.9999104902604316,0.007431202068797224,0.5001808175603859,-2.9319714772722376,0.0025,10
87,-2.929582965296563,0.9999134311495288,0.008655368251496813,0.5000765771068258,-2.9331479364857627,0.0025,10
88,-2.9286727238970496,0.9999146665681277,0.009879837388064756,0.5018829130984593,-2.9336421464032485,0.0025,10
89,-2.9286223753562215,0.9999149304721381,0.01110269095912087,0.500825499474992,-2.933747717002191,0.0025,10
90,-2.9267781247879485,0.9999139658548927,2.220446049250313e-16,0.499192314082831,-2.9333618370913994,0.0025,10
91,-2.9390366271898376,0.9999335218779448,0.001244892750596896,0.49852347858915574,-2.941184842864722,0.0025,10
92,-2.934968801245446,0.9999253668838171,0.002480682557428322,0.49719962943145435,-2.9379226150450872,0.0025,10
93,-2.932912275409467,0.9999192010751246,0.0037073421133351904,0.49455910150926874,-2.935456099880331,0.0025,10
94,-2.9341870805631727,0.9999197092920842,0.004931374373447702,0.49749417987751793,-2.9356594030391987,0.0025,10
95,-2.9350530369539185,0.9999238737022711,0.006155253276455774,0.49833471943556323,-2.9373252974010713,0.0025,10
96,-2.9349049880511595,0.9999262320189344,0.007375551804150002,0.49808344229668494,-2.9382686947712835,0.0025,10
97,-2.934715503825073,0.9999272869986553,0.008595892497008819,0.49963056343063567,-2.938690717568829,0.0025,10
98,-2.9327810320328123,0.9999261053626595,0.009816086532827095,0.5009310075517182,-2.9382180285205646,0.0025,10
99,-2.934265451836568,0.9999269942700826,0.011034442619893314,0.5008921601426174,-2.9385736176079367,0.0025,10
100,-2.9336684124679833,0.999929536273097,0.0,0.49920184563902004,-2.9395904917588878,0.0025,10
101,-2.9301193568125883,0.999905156199435,0.001234273059895131,0.4969651816498345,-2.929837656185022,0.0025,10
102,-2.9266967972676223,0.9999038650223031,0.002468481016624563,0.4963253536768057,-2.929321136010055,0.0025,10
103,-2.929078708699161,0.9999040796878964,0.003701813678949622,0.499731563418538,-2.929407010493687,0.0025,10
104,-2.925459698655505,0.9999040412181017,0.004933870443900125,0.4984784825566398,-2.929391621099365,0.0025,10
105,-2.923744970844234,0.9998988310225554,0.006157365196674276,0.4969644475132932,-2.92730733744573,0.0025,10
106,-2.92241967700244,0.9998964608576697,0.0073732156621915505,0.49567970522399246,-2.926359174443131,0.0025,10
107,-2.9238723596113805,0.9998980788203912,0.008588393354030773,0.4988285215951482,-2.927006426023998,0.0025,10
108,-2.922613904234908,0.999899754584162,0.009800703609759554,0.4969449129117993,-2.9276767992958472,0.0025,10
109,-2.919421050617936,0.9998955703665702,0.011006336885306774,0.49598392740060104,-2.9260029409605934,0.0025,10
110,-2.91653698254562,0.9998892965846943,0.0,0.49340321451901875,-2.9234931582416097,0.0025,10
111,-2.922521622971704,0.9998870769614395,0.0012425989548688816,0.49879612251611066,-2.9226052096553086,0.0025,10
112,-2.9196341972607214,0.9998855632486707,0.0024814686966179523,0.4975656771588676,-2.921999655708475,0.0025,10
113,-2.918799812729577,0.9998824140844136,0.003712950232448891,0.4965715615611019,-2.9207398438531684,0.0025,10
114,-2.9169926032648172,0.9998805916392672,0.00493830894088681,0.49483270674330504,-2.9200107794025634,0.0025,10
115,-2.9162292953991393,0.9998788352338116,0.006157867145513324,0.49547892663795956,-2.9193081327013513,0.0025,10
116,-2.917142489815321,0.9998804996210702,0.007377699486618951,0.49777375417496456,-2.9199739677263863,0.0025,10
117,-2.918012798393076,0.9998841912109216,0.008596289522023058,0.496727425501535,-2.921450777420439,0.0025,10
118,-2.920250624138135,0.9998895131620079,0.009811715329948845,0.49940920289019647,-2.923579798749038,0.0025,10
119,-2.918411833861469,0.9998914120582385,0.01102175099070316,0.49515253622784844,-2.9243394404504612,0.0025,10
120,-2.91106848376736,0.9998812277965464,2.220446049250313e-16,0.49146330463772375,-2.9202652726220086,0.0025,10
121,-2.9054235630153227,0.9998488432799523,0.0012088507087472855,0.4866496715192531,-2.907309717443683,0.0025,10
122,-2.9075944763410035,0.9998490296196724,0.0024171396683416503,0.4857234783639168,-2.9073842645930954,0.0025,10
123,-2.903909130589022,0.9998485665730179,0.003618500226981831,0.4846541872065486,-2.9071990179216742,0.0025,10
124,-2.902470905780912,0.9998435699957953,0.004813913870765228,0.48464497138616325,-2.905200079332561,0.0025,10
125,-2.904326982510781,0.9998455153468678,0.006010108267972479,0.48739289883251324,-2.905978340748021,0.0025,10
126,-2.904762035227136,0.9998497848833626,0.007204640270304345,0.48500493766684666,-2.9076864155709807,0.0025,10
127,-2.9038823747658498,0.9998505889197973,0.008392906730341855,0.48579653161008196,-2.9080080783341464,0.0025,10
128,-2.903948765397766,0.9998509327228712,0.009577561478807589,0.48527425253389145,-2.9081456200903313,0.0025,10
129,-2.901419292407328,0.9998491755954777,0.010756359975732578,0.48345060691044206,-2.907442663727567,0.0025,10
130,-2.897234496939992,0.9998420941427676,0.0,0.4838513757870129,-2.904609645324271,0.0025,10
131,-2.9106624854572556,0.9998554874525912,0.0012122975647565315,0.48636788518059104,-2.9099677794529657,0.0025,10
132,-2.908656974933546,0.999856900308017,0.002416793906435508,0.4831857146671084,-2.9105330029058742,0.0025,10
133,-2.9079239837003734,0.9998548975862548,0.0036141000491874305,0.48537823722486817,-2.9097317987466496,0.0025,10
134,-2.9083949450273803,0.9998559875549153,0.004809608187604503,0.48580231508996236,-2.9101678492452043,0.0025,10
135,-2.904764987076408,0.9998534173217848,0.005998182192800373,0.4843355025303551,-2.9091396065918333,0.0025,10
136,-2.9032886119136685,0.9998483961142142,0.007181187257978857,0.4835176276739067,-2.90713082406761,0.0025,10
137,-2.906356660480843,0.9998517485818518,0.008361585333481938,0.4840100775494211,-2.908472012203833,0.0025,10
138,-2.905412557732757,0.9998557466690536,0.009538431049541106,0.48359692291034034,-2.9100714810106627,0.0025,10
139,-2.9071019217731386,0.9998580395612957,0.010714782592387905,0.48664576335249987,-2.9109887691777834,0.0025,10
