step,elocal,weight,weightvar,elocalvar,eref,tau,popstep
0,-2.9734513242124314,0.9999965419685352,0.0,0.5138832787966594,-2.9754935465645214,0.0025,10
1,-2.9610584360258594,0.9999580181337099,0.0012990480139588969,0.5206247929871627,-2.9600836625207227,0.0025,10
2,-2.960707140667642,0.9999625314747271,0.0025931526919109075,0.5165034234426653,-2.9618890706478602,0.0025,10
3,-2.9603259253901077,0.9999632605597034,0.003880774865641724,0.516166847998704,-2.962180715459533,0.0025,10
4,-2.963887310574021,0.9999689004455994,0.005171156046133602,0.5198005364623889,-2.96443674634138,0.0025,10
5,-2.9617843549157943,0.9999723750177522,0.006460975027316747,0.516642231253777,-2.9658266160122158,0.0025,10
6,-2.9634228786244,0.9999733878970808,0.007743227646255236,0.5152247598103155,-2.966231778731119,0.0025,10
7,-2.960872209965833,0.999973821670339,0.009019186201153913,0.5145612213718567,-2.9664052926143167,0.0025,10
8,-2.957837787763894,0.999968454607191,0.010295354864591856,0.5166945994891932,-2.9642584053919583,0.0025,10
9,-2.9542748441015796,0.9999617744253564,0.011567780311580874,0.5132830027252039,-2.9615862394382955,0.0025,10
10,-2.9560816696154624,0.9999611655213432,3.3306690738754696e-16,0.5176618025121169,-2.961342668448345,0.0025,10
11,-2.9719925647559347,0.9999890877111731,0.0012751794696631903,0.5090380695781017,-2.9725118221956977,0.0025,10
12,-2.975977372325671,0.9999952033553561,0.002548752194452568,0.5118652231749318,-2.9749580990831292,0.0025,10
13,-2.970338767999826,0.9999947347347805,0.0038171738289549378,0.5063118796144065,-2.974770649909834,0.0025,10
14,-2.9697510478533715,0.9999885068413825,0.005076013538728363,0.5052018711487682,-2.9722794716765284,0.0025,10
15,-2.965683194246866,0.9999842327557399,0.006329728524171817,0.5034777179540186,-2.9705698141165158,0.0025,10
16,-2.9634855350732896,0.9999778972485308,0.007574590215262604,0.5033013802790708,-2.968035563246831,0.0025,10
17,-2.962133074502098,0.9999749516798958,0.008814082221775424,0.5035807717569609,-2.9668573080148395,0.0025,10
18,-2.96497857915218,0.9999783911527401,0.010058544327570335,0.5076285212592088,-2.9682331292484903,0.0025,10
19,-2.9635328547723754,0.9999817702113494,0.011311473405957864,0.5086630372108131,-2.9695847796161052,0.0025,10
20,-2.9614232569769197,0.9999789191360696,3.3306690738754696e-16,0.5091475491394841,-2.9684443270883794,0.0025,10
21,-2.9540900647876085,0.999942861900978,0.001300324217286246,0.5221691322558298,-2.9540208689561944,0.0025,10
22,-2.9537386636199545,0.9999451352275978,0.002602952782556698,0.5216974140561096,-2.9549302505308024,0.0025,10
23,-2.9498438926677015,0.9999414952605098,0.003899252441128123,0.5182564667152472,-2.953474181158683,0.0025,10
24,-2.9495490331178322,0.9999378944056445,0.005188333211861312,0.5200488348460002,-2.952033752347284,0.0025,10
25,-2.947218934054958,0.999936229210602,0.006471765962985588,0.5156998519545946,-2.951367632405879,0.0025,10
26,-2.9463700381545483,0.999933863867882,0.007751658818849965,0.5180333114809318,-2.9504214338589785,0.0025,10
27,-2.947192543064409,0.9999354587276962,0.009031991869016863,0.518654613036239,-2.9510594194697743,0.0025,10
28,-2.946128580058198,0.9999367816962333,0.010312531340593584,0.5192646254644309,-2.9515886406912237,0.0025,10
29,-2.948434720144297,0.9999400363394108,0.011600134149262385,0.522545991737427,-2.9528905781498116,0.0025,10
30,-2.9480247274030624,0.9999440737005182,1.1102230246251565e-16,0.5218583118608403,-2.9545056161761236,0.0025,10
31,-2.9370271979752895,0.999905053071445,0.0012294894860387477,0.490934126150675,-2.938896187022349,0.0025,10
32,-2.934472551146714,0.9998994490583505,0.0024573865054141547,0.493283260086101,-2.9366543626486203,0.0025,10
33,-2.9328344052170725,0.9998957080548133,0.003684262146676944,0.49127495697803936,-2.9351578079544423,0.0025,10
34,-2.934499811114343,0.9998972186466515,0.004906648383160363,0.4928263276475038,-2.935762107256825,0.0025,10
35,-2.9326078290279067,0.9998984050583057,0.0061264451510197,0.49105706936559584,-2.9362367204183775,0.0025,10
36,-2.9316249776009156,0.999896259265651,0.007342161430381824,0.49094782918203306,-2.9353783152258615,0.0025,10
37,-2.9297324141955152,0.9998941092996682,0.008555366483487013,0.4908606378290992,-2.934518238683183,0.0025,10
38,-2.923603244033585,0.9998855267910566,0.009767239407350829,0.49039776791274975,-2.931084856941832,0.0025,10
39,-2.9231713760384688,0.9998787291553819,0.010974764481358937,0.4881055746825001,-2.9283654821337293,0.0025,10
40,-2.916817179547795,0.9998716141883297,1.1102230246251565e-16,0.48772975805010527,-2.9255191400087552,0.0025,10
41,-2.9321673196589955,0.9998960122187769,0.0011995997364332343,0.48103044348209134,-2.9352794862114315,0.0025,10
42,-2.9391733132033107,0.9998991436737787,0.0023983297296865415,0.48492351496564573,-2.9365321965173443,0.0025,10
43,-2.9362590376949202,0.9999056915767356,0.0035971777327109457,0.48374755636377703,-2.939151613308989,0.0025,10
44,-2.925029570074963,0.9998894086182317,0.004788271515284878,0.4802573302328613,-2.9326377625639326,0.0025,10
45,-2.9244784143335063,0.9998760408972688,0.005970092946734063,0.4792134167007665,-2.9272900470240595,0.0025,10
46,-2.919363432096796,0.999870321046121,0.007148286878638687,0.47944406732148703,-2.9250018163737215,0.0025,10
47,-2.9174258298380624,0.9998628356546364,0.00832060932087921,0.4754698051379299,-2.9220072602412674,0.0025,10
48,-2.915843756264033,0.9998597895549499,0.00949198577354349,0.4790381146993098,-2.9207886513609647,0.0025,10
49,-2.9181743597992233,0.9998621263598592,0.010667472895854754,0.4787904910955991,-2.9217235033083977,0.0025,10
50,-2.9175933130996032,0.9998656331965788,2.220446049250313e-16,0.4767511540321195,-2.9231264289627132,0.0025,10
51,-2.9594447087216924,0.9999558022665815,0.0012229683340098717,0.4894776042698281,-2.959197277475422,0.0025,10
52,-2.9601282616233067,0.9999595058633699,0.002441460839839573,0.4889290035315161,-2.9606787789262943,0.0025,10
53,-2.9609351904491623,0.9999628419386313,0.0036576682981313974,0.4890662935679337,-2.9620132608436065,0.0025,10
54,-2.9596011187288807,0.9999636668720533,0.004875860609593862,0.4913504490280214,-2.9623432463379586,0.0025,10
55,-2.96170413280334,0.9999661075260906,0.006094437454052804,0.49185827734741855,-2.9633195422333345,0.0025,10
56,-2.963433289593578,0.9999724009558458,0.007316761977135928,0.496834229675188,-2.965836991536283,0.0025,10
57,-2.9628979584973223,0.9999754727635705,0.008550392758922503,0.5022911714408435,-2.9670657466513517,0.0025,10
58,-2.9614791883139024,0.9999745432742165,0.009784359709796598,0.4997724778467581,-2.966693941617654,0.0025,10
59,-2.9617785710748428,0.9999745993548865,0.01101339812355464,0.5010621345748729,-2.966716374456078,0.0025,10
60,-2.962217343591865,0.999977033299969,0.0,0.5026338383566078,-2.967689976034323,0.0025,10
61,-2.9531254434181444,0.9999502415181484,0.0011791427231129124,0.47033468665772055,-2.9569728736038376,0.0025,10
62,-2.9517929609359776,0.9999410254214219,0.0023512470757771423,0.4712062804266043,-2.95328623448345,0.0025,10
63,-2.9558764476763724,0.999945831719667,0.00352240641298691,0.47271275037833344,-2.955208862547256,0.0025,10
64,-2.955117211707254,0.999951370620889,0.004697056883078968,0.47550922352205843,-2.9574245369191283,0.0025,10
65,-2.951040980339531,0.9999467188232468,0.005874783517023332,0.47761197735936656,-2.9555637230439555,0.0025,10
66,-2.9503024453015385,0.9999420511738185,0.007048408092260449,0.47734103620567425,-2.9536965594303455,0.0025,10
67,-2.949768100676716,0.9999418484218677,0.008224505701091534,0.48187566797960873,-2.9536154539418353,0.0025,10
68,-2.9514889644357853,0.9999447708351689,0.009407811902148263,0.4815801161320168,-2.95478448553508,0.0025,10
69,-2.947402280060803,0.9999431387804445,0.010585158365128588,0.47938173606837303,-2.954131627055752,0.0025,10
70,-2.942832625359665,0.9999335477361219,2.220446049250313e-16,0.47803303081275217,-2.950294972771147,0.0025,10
71,-2.9340893895248286,0.9998866354319568,0.001196132717553079,0.48036464656513034,-2.9315283638255654,0.0025,10
72,-2.934266287581286,0.9998954025687158,0.0023921874232976687,0.48060000047332657,-2.9350356007513696,0.0025,10
73,-2.9400246098840936,0.9999042451286987,0.003587400621722228,0.4837351996993481,-2.9385729791055173,0.0025,10
74,-2.9343570580095055,0.999905776112047,0.004781361999084459,0.48075627784569797,-2.93918543062124,0.0025,10
75,-2.9346312292024197,0.9999004312933562,0.0059716211319540006,0.48168338236778585,-2.9370472959675813,0.0025,10
76,-2.928313616225065,0.9998942232767128,0.007153202236047222,0.4757044091862939,-2.934563834326508,0.0025,10
77,-2.924921940929271,0.9998833370083219,0.008318222133873236,0.47179766916363386,-2.9302088426085415,0.0025,10
78,-2.9225614567953784,0.9998774166352722,0.009475036266720485,0.47440437890941095,-2.9278404100692375,0.0025,10
79,-2.923716636846026,0.9998772713718712,0.010635316582301272,0.4781296037002944,-2.927782297580991,0.0025,10
80,-2.9241214330545557,0.9998805527385564,0.0,0.48045923157465176,-2.9290950032078698,0.0025,10
81,-2.9260081900977015,0.9998724871156289,0.0011961778426035216,0.47999462271702575,-2.9258683556101834,0.0025,10
82,-2.9225089363925845,0.9998705907008941,0.0023853110525637513,0.4767422209955391,-2.925109692257561,0.0025,10
83,-2.918504308241805,0.9998625823350187,0.003563115142210796,0.47452489844872653,-2.921905918480763,0.0025,10
84,-2.922835617044487,0.9998643770328729,0.004741904715457616,0.48071507364678795,-2.922623895640897,0.0025,10
85,-2.930677578911641,0.9998810731687073,0.005937607773108359,0.49006966890549203,-2.9293032000825967,0.0025,10
86,-2.924437296560185,0.9998844924574433,0.00713291537950437,0.4820878938493249,-2.930671075915537,0.0025,10
87,-2.93268766228505,0.9998883143299402,0.00831516597285033,0.48716027018919206,-2.932199998594763,0.0025,10
88,-2.9274513360828442,0.9998934591748339,0.009496602587973671,0.48822449111096605,-2.934258161125038,0.0025,10
89,-2.9223810209905667,0.9998819209783253,0.010674417607213611,0.4834006714495446,-2.929642364121733,0.0025,10
90,-2.915967567353999,0.9998687820133115,3.3306690738754696e-16,0.4781814865217143,-2.9243861229334027,0.0025,10
91,-2.918685253012753,0.9998470942330158,0.0011752617145488072,0.4738671195954223,-2.915709778236926,0.0025,10
92,-2.9200354886195217,0.9998582965370385,0.0023537563433521868,0.4766164850716011,-2.920191360003744,0.0025,10
93,-2.9199143459763524,0.9998612187278163,0.003532626089648052,0.47834344471287266,-2.9213604002638087,0.0025,10
94,-2.924452772750139,0.999868109621252,0.004708684423023503,0.48008022866973915,-2.9241171307225096,0.0025,10
95,-2.9272256911147583,0.9998786455456209,0.005888755002120618,0.48275825179151544,-2.928332034171367,0.0025,10
96,-2.9263315515489885,0.9998823176085387,0.007060549303731946,0.47589484133051363,-2.9298010349112027,0.0025,10
97,-2.9315783840878207,0.9998890080541739,0.008218859610249898,0.4756739828014814,-2.9324775191868806,0.0025,10
98,-2.9269530867500877,0.9998910612391928,0.009371705401591487,0.47192825218082396,-2.9332988835160796,0.0025,10
99,-2.9309801814144483,0.99989158195042,0.010520336186445323,0.47381487655557625,-2.933507190645431,0.0025,10
100,-2.9277981248044,0.9998938860550995,1.1102230246251565e-16,0.4732968015554089,-2.934428931388616,0.0025,10
101,-2.9687032582122135,0.9999892977711056,0.0011551513125747485,0.46200195717216425,-2.972595847076506,0.0025,10
102,-2.9663972103790455,0.9999786637302704,0.002301780035750303,0.4630715346650437,-2.968342162601574,0.0025,10
103,-2.975162417898385,0.999988030091905,0.003443065171606389,0.46367183752064567,-2.9720887696479816,0.0025,10
