step,elocal,weight,weightvar,elocalvar,eref,tau,acc_ratio,popstep
0,-2.88360406955587,1.0000149351918395,0.0,0.5174344245267122,-2.884750795445531,0.01,0.998,10
1,-2.891780263195221,1.0001092640759943,0.005180929138954579,0.5206851926060887,-2.8941830981254735,0.01,0.9988,10
2,-2.8870299816969887,1.0001011607632233,0.01032911972372324,0.519154536394693,-2.8933728520963156,0.01,0.9984,10
3,-2.8834087871635083,1.0000845581667457,0.015422416995747996,0.5157506396491347,-2.891712746605021,0.01,0.9982,10
4,-2.883166333289504,1.0000896631963003,0.020470040733956238,0.5164619369627013,-2.8922232050941044,0.01,0.9982,10
5,-2.8836727704292056,1.0001150037833328,0.025490034289905636,0.5184468443896004,-2.8947570045049664,0.01,0.9974,10
6,-2.8822667509328728,1.0001335139563732,0.030467226568472002,0.5162001786774166,-2.8966077918323094,0.01,0.9978,10
7,-2.881897951471422,1.0001474839805884,0.03541987454888125,0.5176917230841646,-2.8980045980040283,0.01,0.9984,10
8,-2.88271350003604,1.0001729008743223,0.04037018662735399,0.518450513714856,-2.90054588028338,0.01,0.9972,10
9,-2.8813943881265978,1.000191929759266,0.04528381685611237,0.5172308171828152,-2.9024484217251247,0.01,0.9978,10
10,-2.878323797408601,1.000189641121245,0.0,0.515396745628872,-2.9022196015785693,0.01,0.9968,10
11,-2.9097929851904873,1.0002782864169262,0.005211747315047988,0.5236368967049283,-2.9110820576588736,0.01,0.9958,10
12,-2.909417516147616,1.000303589970239,0.01038257840531464,0.5245456993113485,-2.913611677027403,0.01,0.9954,10
13,-2.9065280857320084,1.0003129056328566,0.015507911203431991,0.5239776001293425,-2.9145429562244076,0.01,0.9982,10
14,-2.9040066304194685,1.0003100277695447,0.020557919640952025,0.5200468908933635,-2.914255259501174,0.01,0.9972,10
15,-2.904047355134666,1.0003203780751373,0.025526160817188774,0.5172594423118291,-2.915289963918576,0.01,0.9972,10
16,-2.8960685247258224,1.000302000742687,0.030407887141435924,0.5125212592191258,-2.913452802378715,0.01,0.9968,10
17,-2.894732608825548,1.0002761481972604,0.035225877739106966,0.5133242342119184,-2.9108682949510216,0.01,0.9982,10
18,-2.890996355153207,1.0002716031912193,0.040010117393783275,0.5131490448548568,-2.910413918789502,0.01,0.9964,10
19,-2.8896608073777976,1.0002668408265851,0.04476944595608629,0.5126476136960741,-2.9099378105049043,0.01,0.9972,10
20,-2.8866188202166194,1.0002643676020602,0.0,0.5099842310116044,-2.909690553724852,0.01,0.9956,10
21,-2.8953720831327114,1.0001288009834872,0.005025589135841268,0.5084785893499564,-2.8961365563497883,0.01,0.9966,10
22,-2.893523043264658,1.0001490953551235,0.010002822545338902,0.5075069949536049,-2.8981657115660804,0.01,0.9972,10
23,-2.889316535196039,1.0001423493567552,0.014920014999875856,0.5060807091787288,-2.8974912100192,0.01,0.9972,10
24,-2.8866295963476434,1.0001301266004645,0.019763751007631555,0.5039430400908829,-2.8962691008877983,0.01,0.9966,10
25,-2.8877351541692837,1.0001435956834492,0.024547992830005777,0.5046992532852305,-2.8976158248721062,0.01,0.996,10
26,-2.8858537709121803,1.0001608435838745,0.029298055627551188,0.5063948657550951,-2.8993403524077235,0.01,0.9964,10
27,-2.882896805561633,1.0001563320274198,0.03398794781744124,0.5038661885198527,-2.898889268298695,0.01,0.9972,10
28,-2.8809893409995113,1.0001507409906902,0.038617471109359224,0.5054046711495942,-2.898330250455383,0.01,0.9956,10
29,-2.8782234603865198,1.0001459946347415,0.043206078676825015,0.5039580459069372,-2.8978556852707076,0.01,0.9958,10
30,-2.8741079805976595,1.000129978071358,0.0,0.5059812721156397,-2.8962542499085453,0.01,0.997,10
31,-2.909433317698778,1.0002722873222771,0.0051238376925899914,0.5197950738826825,-2.910482313295717,0.01,0.9958,10
32,-2.9065708247381474,1.0002861525076627,0.010201384339312574,0.518568954546498,-2.9118684447987855,0.01,0.9962,10
33,-2.9060820113294072,1.000293494308264,0.01519262492119184,0.5167680941581007,-2.91260241213799,0.01,0.9978,10
34,-2.906349317426567,1.000315434342801,0.020116356652490803,0.5180332723430865,-2.9147957477993045,0.01,0.9958,10
35,-2.903175418681594,1.0003234721789154,0.02499846975967841,0.5195676101439007,-2.915599274721458,0.01,0.9956,10
36,-2.899134441591625,1.0003084877687747,0.029813655790468907,0.51661082613899,-2.914101307035155,0.01,0.997,10
37,-2.896148618440318,1.000292742399058,0.03454358267273317,0.5121135499736542,-2.912527243250767,0.01,0.996,10
38,-2.8939459809722923,1.0002857189401544,0.039209791651802654,0.5119525576133854,-2.9118251004416393,0.01,0.9962,10
39,-2.8891026373921562,1.0002674097291893,0.04378714631199779,0.5056860127120619,-2.909994685572551,0.01,0.9964,10
40,-2.889221280649249,1.0002591028219063,0.0,0.5047440639118225,-2.9091642134712505,0.01,0.9958,10
41,-2.9070008424966938,1.0002665734259468,0.0049701991415686715,0.5014104213594313,-2.909911077570948,0.01,0.9954,10
42,-2.9032659565652614,1.0002546189938029,0.009837481739824018,0.4984484467893824,-2.9087159458033467,0.01,0.9966,10
43,-2.9019405572637997,1.0002511360230326,0.014598276781245352,0.4977531329249055,-2.9083677367805545,0.01,0.9952,10
44,-2.9019226041060935,1.0002654525182988,0.019297026975657966,0.4991053283932414,-2.9097990166158203,0.01,0.9956,10
45,-2.903503394865986,1.0002935276749738,0.02394257913012289,0.4981114039330905,-2.9126057478299323,0.01,0.9958,10
46,-2.904462040924053,1.000324973868472,0.02851032595197563,0.4982634250627131,-2.9157493950046973,0.01,0.9968,10
47,-2.9016685827156277,1.0003334046555332,0.033000125755433214,0.4981048339268016,-2.9165921962696983,0.01,0.996,10
48,-2.9028299565204616,1.0003422343005184,0.03742584983545527,0.4964076633345461,-2.9174748625863534,0.01,0.9962,10
49,-2.8942418183099634,1.0003212908960355,0.04178850076258848,0.4951584222856171,-2.9153812167313817,0.01,0.9946,10
50,-2.8944187828423784,1.000295617831167,4.440892098500626e-16,0.49705719508722535,-2.9128147018970476,0.01,0.9954,10
51,-2.917453226632648,1.0003721629420166,0.005025122210306597,0.5103810846492143,-2.9204666580711374,0.01,0.9944,10
52,-2.914628879632047,1.0003648197850872,0.009976605078808005,0.5082987066462934,-2.9197326128675116,0.01,0.9974,10
53,-2.9102541923536025,1.0003515236804106,0.014828303155277483,0.5067161670286215,-2.9184034784582047,0.01,0.9962,10
54,-2.910092818568208,1.00035020017602,0.01959161859802891,0.5050279341093278,-2.9182711744395946,0.01,0.9946,10
55,-2.9077450282057833,1.0003573038989935,0.024251139019061087,0.5031810313293765,-2.9189812955301644,0.01,0.9958,10
56,-2.904577970973562,1.0003474391594243,0.028791728815951347,0.5026800509569722,-2.91799516905613,0.01,0.9964,10
